iddetcedant,idpcttypdrt,idctr,idpcttypdrtcre,numpers
1055,157235,353,,31914
1056,157238,353,,31914
1057,157240,353,,31914
6337,168474,2125,,514547
6339,168476,2125,,514547
6341,168478,2125,,514547
651889,1644318,257564,,514547
651890,1644319,257564,,514547
651891,1644320,257564,,514547
712257,1786415,278479,,514547
712258,1786416,278479,,514547
712259,1786417,278479,,514547
917861,2293099,361147,,514547
917862,2293100,361147,,514547
917863,2293101,361147,,514547
921124,2300334,362268,,514547
921125,2300335,362268,,514547
921126,2300336,362268,,514547
925181,2308977,363707,,514547
925182,2308978,363707,,514547
925183,2308979,363707,,514547
928564,2316694,364908,,514547
928565,2316695,364908,,514547
928566,2316696,364908,,514547
929681,2319981,365307,,514547
929682,2319982,365307,,514547
929683,2319983,365307,,514547
937884,2375058,368208,,514547
937885,2375059,368208,,514547
937886,2375060,368208,,514547
941104,2382688,369388,,514547
941105,2382689,369388,,514547
941106,2382690,369388,,514547
944224,2390321,370488,,514547
944225,2390322,370488,,514547
944226,2390323,370488,,514547
944787,2391748,370709,,514547
944788,2391749,370709,,514547
944789,2391750,370709,,514547
949341,2401788,372347,,514547
949342,2401789,372347,,514547
949343,2401790,372347,,514547
949621,2402383,372447,,514547
949622,2402384,372447,,514547
949623,2402385,372447,,514547
959687,2424529,376089,,514547
959688,2424530,376089,,514547
959689,2424531,376089,,514547
960644,2426660,376448,,514547
960645,2426661,376448,,514547
960646,2426662,376448,,514547
963621,2433616,377507,,514547
963622,2433617,377507,,514547
963623,2433618,377507,,514547
966821,2442286,378747,,514547
966822,2442287,378747,,514547
966823,2442288,378747,,514547
978767,2468831,382849,,514547
978768,2468832,382849,,514547
978769,2468833,382849,,514547
986247,2485718,385449,,514547
986248,2485719,385449,,514547
986249,2485720,385449,,514547
989724,2495741,386668,,514547
989725,2495742,386668,,514547
989726,2495743,386668,,514547
994301,2506301,388287,,514547
994302,2506302,388287,,514547
994303,2506303,388287,,514547
995301,2509134,388667,,514547
995302,2509135,388667,,514547
995303,2509136,388667,,514547
1002441,2530905,391227,,514547
1002442,2530906,391227,,514547
1002443,2530907,391227,,514547
1004181,2539967,391807,,514547
1004182,2539968,391807,,514547
1004183,2539969,391807,,514547
1005284,2542586,392208,,514547
1005285,2542587,392208,,514547
1005286,2542588,392208,,514547
1006710,2545652,392690,,514547
1006711,2545653,392690,,514547
1006712,2545654,392690,,514547
1007524,2547329,392968,,514547
1007525,2547330,392968,,514547
1007526,2547331,392968,,514547
1011384,2556045,394328,,514547
1011385,2556046,394328,,514547
1011386,2556047,394328,,514547
1012350,2558101,394670,,514547
1012351,2558102,394670,,514547
1012352,2558103,394670,,514547
1014424,2563157,395428,,514547
1014425,2563158,395428,,514547
1014426,2563159,395428,,514547
1242279,3311772,469400,3311771,514547
1242280,3311774,469400,3311773,514547
1242281,3311776,469400,3311775,514547
7559,171045,2535,,114109
7560,171046,2535,,114109
7561,171047,2535,,114109
304005,876047,139286,,114109
304007,876049,139286,,114109
304008,876052,139286,,114109
670765,1686728,264176,,114109
670766,1686729,264176,,114109
670768,1686731,264176,,114109
942461,2386227,369867,,114109
942462,2386228,369867,,114109
942463,2386229,369867,,114109
7571,171069,2539,,113765
7572,171070,2539,,113765
7573,171071,2539,,113765
238681,657660,87681,,113765
238682,657661,87681,,113765
238683,657662,87681,,113765
304043,876131,139298,,113765
304044,876132,139298,,113765
304045,876133,139298,,113765
670804,1686813,264189,,113765
670805,1686814,264189,,113765
670806,1686815,264189,,113765
914101,2284777,359847,,113765
914102,2284778,359847,,113765
914103,2284779,359847,,113765
966824,2442292,378748,,113765
966825,2442293,378748,,113765
966826,2442294,378748,,113765
134559,437438,45088,,31914
134562,437441,45088,,31914
134563,437443,45088,,31914
311926,892366,141930,,31914
311927,892367,141930,,31914
311928,892368,141930,,31914
