idrestctr,cdegreoeuv
2076268,RT
2076269,LP
2076270,DI
2076271,BH
2076272,LR
2076273,BL
2076274,LY
2076275,JZ
2076276,MA
2076277,MB
2076278,OF
2076279,ME
2076280,MF
2076281,MI
2076282,ML
2076283,IJ
2076284,ST
2076285,MO
2076286,MS
2076287,MT
2076288,CM
2076290,TD
2076291,AR
2076292,PA
2076293,RE
2076294,HA
2076295,TM
2076296,TO
2076297,TP
2076298,DB
2076299,LJ
2076300,TS
2076301,VV
2076302,XY
