cdepaysiso4npere,cdepaysiso4nfils,gpeterfils,datcre,usercre,datmaj,usermaj,datdbtvld,datfinvld
2018,2100,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,2106,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2018,2120,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2136,10,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2122,688,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,2007-10-22 00:00:00.000000,3999-12-31 00:00:00.000000
2122,499,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,2007-10-22 00:00:00.000000,3999-12-31 00:00:00.000000
2041,2102,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2008,2114,0,2014-08-25 08:42:06.000000,TASSINB,2014-08-25 08:42:06.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2041,60,0,2014-08-20 16:08:55.000000,TASSINB,2014-08-20 16:08:55.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2120,2045,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2120,2119,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2120,2040,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,2111,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2040,2110,0,2014-08-21 09:52:14.000000,TASSINB,2022-01-18 17:15:11.000000,TASSINB,1000-01-01 00:00:00.000000,2021-12-31 00:00:00.000000
2040,2127,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2045,705,0,2014-08-21 09:52:14.000000,TASSINB,2014-08-21 09:52:14.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2026,276,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2039,16,0,2014-08-21 12:16:50.000000,TASSINB,2014-08-21 12:16:50.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2106,2006,0,2014-08-21 12:16:50.000000,TASSINB,2014-08-21 12:16:50.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2006,446,0,2014-08-21 12:16:50.000000,TASSINB,2014-08-21 12:16:50.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2006,626,0,2014-08-21 12:16:50.000000,TASSINB,2014-08-21 12:16:50.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2026,40,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2026,955,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
530,918,0,2014-08-22 14:29:23.000000,TASSINB,2014-08-22 14:29:23.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,28,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,724,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,32,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,68,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,152,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,170,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,188,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,192,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,214,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,218,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,320,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
2038,340,0,2014-08-21 17:51:39.000000,TASSINB,2014-08-21 17:51:39.000000,TASSINB,1000-01-01 00:00:00.000000,3999-12-31 00:00:00.000000
