idoeuv,idpartpt,numnom,numnomgp,edtrsubst,partedtr,let,cdecategadsacem,numcatal,numpers,datdbtvld,datfinvld,nomdeclt,prndeclt,nomfid,id,dscrmt,numpartptspeci,ipnamenrforcage,idbranche
608050019,303957064,1025730,1025730,0,,B,A,667100,670864,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
608050019,303957065,1025730,1025730,0,,B,C,667100,670864,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
608050019,303957066,959830,959830,0,,A,C,629526,630796,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
708437448,352972300,1025730,1025730,0,,B,CA,667100,670864,,,,,,,OSCAR,,,2879221
708437448,352972301,959830,959830,0,,A,CA,629526,630796,,,,,,,OSCAR,,,2879220
708437448,352972302,1207668,1207668,0,,B,E,780850,778828,,,,,,,OSCAR,,,2879221
708437448,352972303,964118,964118,0,,A,E,848881,633159,,,,,,,OSCAR,,,2879220
708437448,352972304,736709,736709,0,,A,E,191109,504288,,,,,,,OSCAR,,,2879220
860891644,440157939,,544876,0,,,E,175763,396735,,,,,,,OSCAR,,,
860891644,440157940,33559,33559,0,,,CA,394534,30724,,,,,,,OSCAR,,,
1506945,2491817,,529446,0,,,C,370197,388684,,,,,,,OSCAR,,,
1506945,2491818,,772906,0,,,SE,455006,523748,,,,,,,OSCAR,,,
1506945,2491819,,158139,0,,,SE,207059,99440,,,,,,,OSCAR,,,
41841498,46367910,,493938,0,,,E,236945,370264,,,,,,,OSCAR,,,
41841498,46367912,,529446,0,,,C,370197,388684,,,,,,,OSCAR,,,
128205596,83950974,,529446,0,,A,CA,370197,388684,,,,,,,OSCAR,,,
128205596,83950976,,493938,0,,A,E,236945,370264,,,,,,,OSCAR,,,
375064732,195081264,,529446,0,,A,CA,370197,388684,,,,,,,OSCAR,,,
375064732,195081265,,493938,0,,A,E,236945,370264,,,,,,,OSCAR,,,
734785742,367762918,,493938,0,,A,E,236945,370264,,,,,,,OSCAR,,,3204798
734785742,367762919,,529446,0,,A,CA,370197,388684,,,,,,,OSCAR,,,3204798
1017279711,515022740,696375,696375,0,,A,E,253053,481375,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6759811
1017279711,515022741,599701,599701,0,,A,A,376090,427982,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6759811
1017279711,515022742,599701,599701,0,,A,C,376090,427982,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6759811
1020192031,515425492,1007127,1007127,0,,A,A,655768,659825,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6789133
1020192031,515425493,1007127,1007127,0,,A,C,655768,659825,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6789133
1020192031,515425494,696375,696375,0,,A,E,253053,481375,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,6789133
4447282,7359754,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
4447282,7359756,387982,387982,0,,,CA,424335,313307,,,,,,,OSCAR,,,
4447282,7359757,387981,387981,0,,,CA,228878,313306,,,,,,,OSCAR,,,
4745196,7841582,,494346,0,,,CA,302388,370423,,,,,,,OSCAR,,,
4745196,7841583,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
4745196,7841584,387728,387728,0,,,E,228853,313176,,,,,,,OSCAR,,,
4745196,7841585,387982,387982,0,,,CA,424335,313307,,,,,,,OSCAR,,,
12129972,20042137,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
12129972,20042138,26168,26168,0,,,CA,67774,24015,,,,,,,OSCAR,,,
12129972,20042139,84182,84182,0,,,SE,267461,57178,,,,,,,OSCAR,,,
12129972,20042140,,538585,0,,,SE,175224,393366,,,,,,,OSCAR,,,
41984957,47277247,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
41984957,47277249,26168,26168,0,,,CA,67774,24015,,,,,,,OSCAR,,,
127808002,83077698,,494346,0,,,CA,302388,370423,,,,,,,OSCAR,,,
127808002,83077699,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
127808002,83077700,,895962,0,,,E,505995,593808,,,,,,,OSCAR,,,
127808002,83077701,387982,387982,0,,,CA,424335,313307,,,,,,,OSCAR,,,
253909520,142473701,1205347,1205347,0,,A,E,779297,777436,,,,,,,OSCAR,,,
253909520,142473702,1433599,1433599,0,,A,C,925854,910499,,,,,,,OSCAR,,,
348529633,183417299,1205347,1205347,0,,A,E,779297,777436,,,,,,,OSCAR,,,1884612
348529633,183417300,,1433599,0,,A,C,925854,910499,,,,,,,OSCAR,,,1884612
367789129,191777557,1147646,1147646,0,,,E,743120,742646,,,,,,,OSCAR,,,
367789129,191777558,1459029,1459029,0,,,CA,941848,925970,,,,,,,OSCAR,,,
734762159,367675828,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
734762159,367675830,26168,26168,0,,,CA,67774,24015,,,,,,,OSCAR,,,
734819783,367894834,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
734819783,367894835,,895962,0,,,E,505995,593808,,,,,,,OSCAR,,,
734819783,367894836,387982,387982,0,,,CA,424335,313307,,,,,,,OSCAR,,,
734819783,367894837,,494346,0,,,CA,302388,370423,,,,,,,OSCAR,,,
860938530,440306616,,722840,0,,,E,125239,496259,,,,,,,OSCAR,,,
860938530,440306617,,895962,0,,,E,505995,593808,,,,,,,OSCAR,,,
860938530,440306619,387982,387982,0,,,CA,424335,313307,,,,,,,OSCAR,,,
860938530,440306621,,494346,0,,,CA,302388,370423,,,,,,,OSCAR,,,
926381720,474425287,30557,30557,0,,A,A,263589,27986,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,5240587
926381720,474425288,1147646,1147646,0,,A,E,743120,742646,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,5240587
926381720,474425289,30557,30557,0,,A,C,263589,27986,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,5240587
819728428,418748110,1448234,1448234,0,,A,E,934958,919403,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
819728428,418748111,1149971,1149971,0,,A,C,744464,743955,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
819728428,418748112,1149971,1149971,0,,A,A,744464,743955,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,
823735760,420529375,1448234,1448234,0,,A,E,934958,919403,,,,,,,OSCAR,,,4014789
823735760,420529376,1149971,1149971,0,,A,CA,744464,743955,,,,,,,OSCAR,,,4014789
26249975,33470859,null,480687,0,null,null,CA,183631,363018,null,null,null,null,KATZ MARTISQUIR ITUNES,null,FID,null,null,null
