iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
932504,SE,684429,687353,0,,,366988,2333465
932505,SE,684429,687353,0,,,366988,2333466
932684,SE,684429,687353,0,,,367061,2333998
932685,SE,684429,687353,0,,,367061,2333999
932686,SE,684429,687353,0,,,367061,2334000
933011,SE,684429,687353,0,,,367184,2334680
933012,SE,684429,687353,0,,,367184,2334681
933013,SE,684429,687353,0,,,367184,2334682
933401,SE,684429,687353,0,,,367340,2360416
933402,SE,684429,687353,0,,,367340,2360417
933403,SE,684429,687353,0,,,367340,2360418
933809,SE,684429,687353,0,,,367476,2369653
933810,SE,684429,687353,0,,,367476,2369654
933811,SE,684429,687353,0,,,367476,2369655
936290,SE,684429,687353,0,,,368323,2375806
936291,SE,684429,687353,0,,,368323,2375807
936292,SE,684429,687353,0,,,368323,2375808
936466,SE,684429,687353,0,,,368395,2376251
936467,SE,684429,687353,0,,,368395,2376252
936468,SE,684429,687353,0,,,368395,2376253
937394,SE,684429,687353,0,,,368731,2378223
937395,SE,684429,687353,0,,,368731,2378224
937396,SE,684429,687353,0,,,368731,2378225
937830,SE,684429,687353,0,,,368883,2379422
937831,SE,684429,687353,0,,,368883,2379423
937832,SE,684429,687353,0,,,368883,2379424
942928,SE,684429,687353,0,,,370743,2391979
942929,SE,684429,687353,0,,,370743,2391980
942930,SE,684429,687353,0,,,370743,2391981
943573,SE,684429,687353,0,,,370964,2393382
943574,SE,684429,687353,0,,,370964,2393383
943575,SE,684429,687353,0,,,370964,2393384
948124,SE,684429,687353,0,,,372601,2403383
948125,SE,684429,687353,0,,,372601,2403384
948126,SE,684429,687353,0,,,372601,2403385
948392,SE,684429,687353,0,,,372697,2404003
948393,SE,684429,687353,0,,,372697,2404004
948394,SE,684429,687353,0,,,372697,2404005
949089,SE,684429,687353,0,,,372956,2405623
949090,SE,684429,687353,0,,,372956,2405624
949091,SE,684429,687353,0,,,372956,2405625
950413,SE,684429,687353,0,,,373444,2408484
950414,SE,684429,687353,0,,,373444,2408485
950415,SE,684429,687353,0,,,373444,2408486
950695,SE,684429,687353,0,,,373538,2409093
950696,SE,684429,687353,0,,,373538,2409094
950697,SE,684429,687353,0,,,373538,2409095
951090,SE,684429,687353,0,,,373683,2410055
951091,SE,684429,687353,0,,,373683,2410056
951092,SE,684429,687353,0,,,373683,2410057
953469,SE,684429,687353,0,,,374516,2415011
953470,SE,684429,687353,0,,,374516,2415012
953471,SE,684429,687353,0,,,374516,2415013
954979,SE,684429,687353,0,,,375054,2418196
954980,SE,684429,687353,0,,,375054,2418197
954981,SE,684429,687353,0,,,375054,2418198
955944,SE,684429,687353,0,,,375381,2420232
955945,SE,684429,687353,0,,,375381,2420233
955946,SE,684429,687353,0,,,375381,2420234
956147,SE,684429,687353,0,,,375456,2420689
956148,SE,684429,687353,0,,,375456,2420690
956149,SE,684429,687353,0,,,375456,2420691
956321,SE,684429,687353,0,,,375540,2421132
956322,SE,684429,687353,0,,,375540,2421133
956323,SE,684429,687353,0,,,375540,2421134
956817,SE,684429,687353,0,,,375712,2422417
956818,SE,684429,687353,0,,,375712,2422418
956819,SE,684429,687353,0,,,375712,2422419
958980,SE,684429,687353,0,,,376563,2427277
958981,SE,684429,687353,0,,,376563,2427278
958982,SE,684429,687353,0,,,376563,2427279
959297,SE,684429,687353,0,,,376672,2427999
959298,SE,684429,687353,0,,,376672,2428000
959299,SE,684429,687353,0,,,376672,2428001
963549,SE,684429,687353,0,,,378183,2438969
963550,SE,684429,687353,0,,,378183,2438970
963551,SE,684429,687353,0,,,378183,2438971
963913,SE,684429,687353,0,,,378351,2440030
963914,SE,684429,687353,0,,,378351,2440031
963915,SE,684429,687353,0,,,378351,2440032
970142,SE,684429,687353,0,,,380527,2453544
970143,SE,684429,687353,0,,,380527,2453545
970144,SE,684429,687353,0,,,380527,2453546
975289,SE,684429,687353,0,,,382296,2464802
975290,SE,684429,687353,0,,,382296,2464803
975291,SE,684429,687353,0,,,382296,2464804
975891,SE,684429,687353,0,,,382510,2466539
975892,SE,684429,687353,0,,,382510,2466540
975893,SE,684429,687353,0,,,382510,2466541
977636,SE,684429,687353,0,,,383179,2471264
977637,SE,684429,687353,0,,,383179,2471265
977638,SE,684429,687353,0,,,383179,2471266
984069,SE,684429,687353,0,,,385376,2485284
984070,SE,684429,687353,0,,,385376,2485285
984071,SE,684429,687353,0,,,385376,2485286
989623,SE,684429,687353,0,,,387371,2500618
989624,SE,684429,687353,0,,,387371,2500619
989625,SE,684429,687353,0,,,387371,2500620
994614,SE,684429,687353,0,,,389171,2512902
994615,SE,684429,687353,0,,,389171,2512903
994616,SE,684429,687353,0,,,389171,2512904
995847,SE,684429,687353,0,,,389642,2516052
995848,SE,684429,687353,0,,,389642,2516053
995849,SE,684429,687353,0,,,389642,2516054
996418,SE,684429,687353,0,,,389839,2517365
996419,SE,684429,687353,0,,,389839,2517366
996420,SE,684429,687353,0,,,389839,2517367
996748,SE,684429,687353,0,,,389949,2518104
996749,SE,684429,687353,0,,,389949,2518105
996750,SE,684429,687353,0,,,389949,2518106
1001190,SE,684429,687353,0,,,391483,2536782
1001191,SE,684429,687353,0,,,391483,2536783
1001192,SE,684429,687353,0,,,391483,2536784
1009597,SE,684429,687353,0,,,394412,2556560
1009598,SE,684429,687353,0,,,394412,2556561
1009599,SE,684429,687353,0,,,394412,2556562
1010801,SE,684429,687353,0,,,394860,2559210
1010802,SE,684429,687353,0,,,394860,2559211
1010803,SE,684429,687353,0,,,394860,2559212
1011123,SE,684429,687353,0,,,394994,2559937
1011124,SE,684429,687353,0,,,394994,2559938
1011125,SE,684429,687353,0,,,394994,2559939
1011924,SE,684429,687353,0,,,395275,2561837
1011925,SE,684429,687353,0,,,395275,2561838
1011926,SE,684429,687353,0,,,395275,2561839
1014683,SE,684429,687353,0,,,396254,2568106
1014684,SE,684429,687353,0,,,396254,2568107
1014685,SE,684429,687353,0,,,396254,2568108
279290,SE,803643,799224,0,,,101824,778431
279291,SE,803643,799224,0,,,101824,778432
279292,SE,803643,799224,0,,,101824,778433
295523,SE,803643,799224,0,,,107574,824770
295524,SE,803643,799224,0,,,107574,824771
295525,SE,803643,799224,0,,,107574,824772
604756,SE,803643,799224,0,,,241534,1533929
604757,SE,803643,799224,0,,,241534,1533930
