ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
112643810,109813644,2136,1,0,1.0
116244024,113402245,3041,1,0,1.0
92115931,89322011,2136,1,0,1.0
112683268,109852902,2136,1,0,1.0
94437199,91638794,2136,1,0,1.0
118109353,115263281,2136,1,0,1.0
24197791,21741788,2121,1,0,1.0
153686292,150636492,28,0,5,5.0
115264600,112424363,56,1,0,4.0
116702670,113860328,380,0,0,2.0
100753401,97948005,3017,1,0,2.0
92967673,90171959,3041,1,0,1.0
116678101,113835939,3041,1,0,1.0
35636399,33032193,3041,1,0,1.0
133679804,130789156,724,1,16,16.0
133679801,130789156,901,1,13,13.0
14240638,13049168,3017,0,0,3.0
90416949,87628679,2136,1,0,1.0
92129809,89335329,56,1,0,4.0
117585567,114742235,2136,1,0,1.0
100767875,97961993,380,0,0,2.0
153686300,150636492,328,0,13,13.0
90862599,88071631,442,1,0,3.0
14200150,13025700,2039,1,0,1.0
106189653,103376511,2136,1,0,1.0
17227205,15809968,2136,1,0,1.0
95876912,93076747,380,0,0,2.0
94875886,92077254,380,0,0,2.0
116678104,113835939,56,1,0,4.0
103833731,101025344,56,1,0,4.0
153890183,150839949,670,0,11,11.0
35567307,32964127,442,0,0,3.0
90405125,87618254,2136,1,0,1.0
107776924,104950738,2136,1,0,1.0
109377367,106550083,56,1,0,4.0
133679789,130789156,792,1,1,1.0
31549137,28950404,2136,1,0,1.0
92962709,90167145,2136,1,0,1.0
112710653,109880224,2136,1,0,1.0
133679803,130789156,620,1,15,15.0
104386564,101575545,3017,1,0,2.0
92539851,89744756,380,0,0,2.0
91281079,88488422,3017,1,0,2.0
153686318,150636492,2116,0,31,31.0
92967676,90171959,56,1,0,4.0
90405126,87618254,380,0,0,2.0
153890173,150839949,2136,1,1,1.0
153686298,150636492,670,0,11,11.0
94411864,91613772,380,0,0,2.0
106272899,103454693,380,0,0,2.0
111762849,108933156,2136,1,0,1.0
103406331,100598399,3041,1,0,1.0
114682447,111843841,2136,1,0,1.0
153890203,150839949,2116,0,31,31.0
109377366,106550083,442,1,0,3.0
93408169,90612054,3017,1,0,2.0
133679814,130789156,578,1,26,26.0
105258124,102446806,2136,1,0,1.0
103833943,101025459,2136,1,0,1.0
36458993,33846882,788,0,0,5.0
115257301,112417523,3017,1,0,2.0
168094133,164875894,32,0,5,5.0
100762748,97957251,56,1,0,4.0
153686314,150636492,184,0,27,27.0
14219961,13037608,56,1,0,3.0
110853668,108024264,442,1,0,3.0
107786427,104960167,56,1,0,4.0
91694386,88901144,380,0,0,2.0
104386565,101575545,442,1,0,3.0
100767874,97961993,2136,1,0,1.0
110871391,108041881,124,0,0,4.0
35636401,33032193,442,1,0,3.0
133679822,130789156,428,1,34,34.0
96729527,93929135,380,0,0,2.0
94419647,91621465,2136,1,0,1.0
102101568,99294359,442,0,0,3.0
106207792,103394593,442,0,0,3.0
153686304,150636492,826,0,17,17.0
41661090,38998733,2136,1,0,1.0
117164054,114321088,3041,1,0,1.0
172466893,169202149,840,1,2,2.0
102530806,99723442,2136,1,0,1.0
97979673,95177557,3017,1,0,2.0
75115328,72370663,2136,1,0,1.0
153890182,150839949,780,0,10,10.0
153686307,150636492,520,0,20,20.0
106207790,103394593,2136,1,0,1.0
106735881,103912437,2136,1,0,1.0
114721662,111882533,442,1,0,3.0
110871389,108041881,3017,0,0,2.0
90862598,88071631,3017,1,0,2.0
116702669,113860328,2136,1,0,1.0
102101567,99294359,3017,0,0,2.0
153890191,150839949,296,0,19,19.0
115187352,112347985,3017,1,0,2.0
94411863,91613772,2136,1,0,1.0
112683300,109852910,380,0,0,2.0
153890197,150839949,882,0,25,25.0
14219959,13037608,3017,1,0,1.0
104386566,101575545,56,1,0,4.0
98990249,96186668,442,1,0,3.0
93436754,90640114,380,0,0,2.0
153890201,150839949,162,0,29,29.0
133679813,130789156,352,1,25,25.0
95876911,93076747,2136,1,0,1.0
102541718,99734151,2136,1,0,1.0
28600012,26087390,442,1,0,2.0
90862597,88071631,3041,1,0,1.0
153686312,150636492,882,0,25,25.0
30761472,28164426,442,1,0,2.0
109886305,107058042,2136,1,0,1.0
153890184,150839949,44,0,12,12.0
153686297,150636492,780,0,10,10.0
14219960,13037608,442,1,0,2.0
91281078,88488422,3041,1,0,1.0
92120448,89326374,380,0,0,2.0
90849011,88058573,2136,1,0,1.0
133679798,130789156,688,1,10,10.0
116678102,113835939,3017,1,0,2.0
96293993,93493792,2136,1,0,1.0
99419169,96615271,56,1,0,4.0
89958274,87176118,380,0,0,2.0
30756043,28159174,442,1,0,2.0
14240637,13049168,442,1,0,2.0
30761471,28164426,3041,1,0,1.0
115264797,112424396,2136,1,0,1.0
94917631,92118958,2136,1,0,1.0
100762745,97957251,3041,1,0,1.0
19107674,17252801,380,0,0,2.0
102520050,99712645,2136,1,0,1.0
106735874,103912435,3041,1,0,1.0
153686302,150636492,90,0,15,15.0
133679824,130789156,372,1,36,36.0
117164057,114321088,56,1,0,4.0
107786424,104960167,3041,1,0,1.0
97979672,95177557,3041,1,0,1.0
133679810,130789156,752,1,22,22.0
114012875,111176447,56,1,0,4.0
92115932,89322011,380,0,0,2.0
103406334,100598399,56,1,0,4.0
92962710,90167145,380,0,0,2.0
94433661,91635431,380,0,0,2.0
155665614,152593202,3041,1,1,1.0
153686315,150636492,574,0,28,28.0
153686308,150636492,798,0,21,21.0
100772000,97966076,380,0,0,2.0
168094130,164875894,840,0,2,2.0
97979675,95177557,56,1,0,4.0
35567306,32964127,3017,0,0,2.0
112643811,109813644,380,0,0,2.0
96729505,93929121,2136,1,0,1.0
133679809,130789156,276,1,21,21.0
89958273,87176118,2136,1,0,1.0
115264599,112424363,442,1,0,3.0
93965705,91168156,2136,1,0,1.0
106225619,103412500,2136,1,0,1.0
115730050,112889296,2136,1,0,1.0
110871388,108041881,2136,1,0,1.0
116244025,113402245,3017,1,0,2.0
96754597,93953998,2136,1,0,1.0
14189896,13020245,442,1,0,4.0
106170148,103357383,124,0,0,4.0
92543865,89748631,2136,1,0,1.0
153890176,150839949,388,0,4,4.0
102109298,99301942,380,0,0,2.0
94433660,91635431,2136,1,0,1.0
98990248,96186668,3017,1,0,2.0
100753402,97948005,442,1,0,3.0
95856964,93056953,442,1,0,3.0
133679821,130789156,440,1,33,33.0
26897626,24395985,2136,1,0,1.0
102541719,99734151,380,0,0,2.0
14314986,13096600,40,1,0,1.0
117152842,114310128,380,0,0,2.0
104830147,102018932,2136,1,0,1.0
92129806,89335329,3041,1,0,1.0
102109297,99301942,2136,1,0,1.0
169917526,166672673,3017,0,2,2.0
153686303,150636492,548,0,16,16.0
133679812,130789156,246,1,24,24.0
97979674,95177557,442,1,0,3.0
101227574,98421071,380,0,0,2.0
133679808,130789156,380,1,20,20.0
105712447,102900696,2136,1,0,1.0
133679795,130789156,642,1,7,7.0
104386563,101575545,3041,1,0,1.0
99419168,96615271,442,1,0,3.0
92129807,89335329,3017,1,0,2.0
101671777,98864654,380,0,0,2.0
153686305,150636492,470,0,18,18.0
116244230,113402329,2136,1,0,1.0
153686311,150636492,598,0,24,24.0
96754598,93953998,380,0,0,2.0
153686299,150636492,44,0,12,12.0
91702936,88909383,2121,1,0,1.0
36458989,33846882,3017,1,0,1.0
153686309,150636492,612,0,22,22.0
115187351,112347985,3041,1,0,1.0
14240635,13049168,2136,1,0,1.0
28600013,26087390,56,1,0,3.0
106225620,103412500,442,1,0,2.0
106735875,103912435,3017,1,0,2.0
133679790,130789156,616,1,2,2.0
133679816,130789156,304,1,28,28.0
99419242,96615305,2136,1,0,1.0
105258125,102446806,380,0,0,2.0
101676138,98868960,380,0,0,2.0
153890189,150839949,826,0,17,17.0
91281081,88488422,56,1,0,4.0
105717475,102905673,3041,1,0,1.0
102969699,100162056,380,0,0,2.0
31521599,28923116,442,1,0,2.0
153686301,150636492,196,0,14,14.0
151870506,148840165,2136,1,1,1.0
106233932,103420781,380,0,0,2.0
153686290,150636492,212,0,3,3.0
41661091,38998733,442,1,0,2.0
100753400,97948005,3041,1,0,1.0
110871390,108041881,442,0,0,3.0
112672357,109842076,2136,1,0,1.0
105717477,102905673,442,1,0,3.0
153686293,150636492,52,0,6,6.0
117597626,114754131,380,0,0,2.0
133679819,130789156,300,1,31,31.0
106272898,103454693,2136,1,0,1.0
115257300,112417523,3041,1,0,1.0
93408168,90612054,3041,1,0,1.0
106170146,103357383,3017,0,0,2.0
102536909,99729369,2136,1,0,1.0
114012872,111176447,3041,1,0,1.0
116717053,113874634,380,0,0,2.0
133679805,130789156,56,1,17,17.0
94875885,92077254,2136,1,0,1.0
105263690,102452308,2136,1,0,1.0
102969698,100162056,2136,1,0,1.0
102948881,100141285,2136,1,0,1.0
39045429,36415257,3017,1,0,2.0
14314987,13096600,276,1,0,2.0
116244231,113402329,380,0,0,2.0
133679791,130789156,203,1,3,3.0
98990247,96186668,3041,1,0,1.0
90862600,88071631,56,1,0,4.0
115257303,112417523,56,1,0,4.0
106207793,103394593,124,0,0,4.0
91281080,88488422,442,1,0,3.0
133679817,130789156,250,1,29,29.0
105717478,102905673,56,1,0,4.0
92967675,90171959,442,1,0,3.0
153890204,150839949,372,0,32,32.0
133679815,130789156,234,1,27,27.0
133679811,130789156,208,1,23,23.0
31549138,28950404,380,0,0,2.0
153890187,150839949,90,0,15,15.0
99419243,96615305,380,0,0,2.0
106735876,103912435,442,1,0,3.0
106225621,103412500,3017,0,0,3.0
36458991,33846882,56,1,0,3.0
153890192,150839949,520,0,20,20.0
95856970,93056958,2136,1,0,1.0
103383791,100576035,2136,1,0,1.0
133679802,130789156,807,1,14,14.0
155665617,152593202,56,1,4,4.0
133679823,130789156,826,1,35,35.0
102087167,99279859,380,0,0,2.0
28600017,26087390,504,0,0,7.0
102087166,99279859,2136,1,0,1.0
89981318,87197309,2136,1,0,1.0
114682448,111843841,380,0,0,2.0
29828680,27257278,2136,1,0,1.0
22194422,19778608,2121,1,0,1.0
153686306,150636492,296,0,19,19.0
115257622,112417672,2136,1,0,1.0
103374621,100566982,2136,1,0,1.0
103842824,101034259,2136,1,0,1.0
110853666,108024264,3041,1,0,1.0
58608534,55912322,2121,1,0,1.0
36458992,33846882,818,0,0,4.0
93965706,91168156,442,1,0,2.0
14189892,13020245,3017,1,0,1.0
153686317,150636492,2115,0,30,30.0
106283683,103465210,442,1,2,2.0
155783122,152708878,2136,1,1,1.0
133679820,130789156,360,1,32,32.0
92120447,89326374,2136,1,0,1.0
95856963,93056953,3017,1,0,2.0
98979234,96175707,2136,1,0,1.0
107786426,104960167,442,1,0,3.0
96729526,93929135,2136,1,0,1.0
107732547,104906673,2136,1,0,1.0
30736912,28140152,380,0,0,2.0
168094129,164875894,2136,1,1,1.0
117164056,114321088,442,1,0,3.0
107776925,104950738,380,0,0,2.0
109377364,106550083,3041,1,0,1.0
115264598,112424363,3017,1,0,2.0
103374622,100566982,380,0,0,2.0
102948882,100141285,380,0,0,2.0
133679796,130789156,100,1,8,8.0
153686319,150636492,372,0,32,32.0
102530807,99723442,380,0,0,2.0
103833730,101025344,442,1,0,3.0
14189893,13020245,56,1,0,2.0
92548276,89752919,2136,1,0,1.0
99436795,96632498,380,0,0,2.0
153890200,150839949,574,0,28,28.0
153686310,150636492,776,0,23,23.0
153890198,150839949,166,0,26,26.0
151703301,148676392,3017,1,1,1.0
102101569,99294359,124,0,0,4.0
153890180,150839949,659,0,8,8.0
93959107,91161618,2136,1,0,1.0
